Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Marketing Communications Manager,25%,578,3227,0.179113728,Leadership & Strategy
Marketing Communications Specialist,25%,586,3251,0.18025223,Medical & Healthcare
Marketing Engineer,25%,590,3260,0.180981595,Supply Chain & Logistics
Media Director,25%,770,2159,0.356646596,Law Enforcement
Media Planner,25%,813,2673,0.304152637,Construction
Print Production Manager,25%,701,2336,0.300085616,Sales & Marketing
Social Media Director,25%,1009,3039,0.332017111,Hospitality
Wedding Planner,25%,787,2506,0.314046289,Communication & PR
Product Coordinator,25%,749,2026,0.369693978,Data & IT
Project Assistant,25%,817,2252,0.362788632,Administrative & Clerical
Bakery Clerk,25%,138,1207,0.114333057,Leadership & Strategy
Bench Jeweler,25%,95,766,0.124020888,Medical & Healthcare
Grocery Stocker,25%,147,1023,0.143695015,Supply Chain & Logistics
Merchandiser,25%,658,1759,0.37407618,Law Enforcement
Retail Consultant,25%,655,1808,0.362278761,Construction
Retail Merchandiser,25%,604,1578,0.382762991,Sales & Marketing
Retail Sales,25%,572,1448,0.395027624,Hospitality
Retail Sales Associate,25%,561,1422,0.394514768,Communication & PR
Retail Sales Manager,25%,649,1685,0.385163205,Data & IT
Retail Salesperson,25%,558,1409,0.39602555,Administrative & Clerical
Retail Specialist,25%,586,1618,0.362175525,Leadership & Strategy
Sales Merchandiser,25%,591,1562,0.378361076,Medical & Healthcare
Stocker,25%,285,1041,0.273775216,Supply Chain & Logistics
Visual Merchandising Manager,25%,760,2277,0.333772508,Law Enforcement
Boilermaker,25%,59,495,0.119191919,Construction
Construction Consultant,25%,206,1450,0.142068966,Sales & Marketing
Elevator Mechanic,25%,58,490,0.118367347,Hospitality
Home Builder,25%,199,1646,0.120899149,Communication & PR
Pipe Fitter,25%,232,879,0.263936291,Data & IT
Insurance Verification Specialist,25%,292,2021,0.144482929,Administrative & Clerical
Lead Engineer,25%,291,1884,0.154458599,Leadership & Strategy
Lead Software Engineer,25%,287,1861,0.154218162,Medical & Healthcare
Python Developer,25%,541,1469,0.36827774,Supply Chain & Logistics
Senior Software Developer,25%,952,2436,0.390804598,Law Enforcement
Senior Software Engineer,25%,950,2434,0.390304026,Construction
Software Developer,25%,946,2429,0.389460683,Sales & Marketing
Web Architect,25%,1067,2752,0.387718023,Hospitality
Business Intelligence Manager,25%,235,1554,0.151222651,Communication & PR
Business Process Analyst,25%,261,2008,0.12998008,Data & IT
Erp Consultant,25%,270,1842,0.146579805,Administrative & Clerical
Microstrategy Developer,25%,533,1457,0.365820178,Leadership & Strategy
Research Manager,25%,994,2806,0.354240912,Medical & Healthcare
Researcher,25%,1028,2939,0.349778836,Supply Chain & Logistics
Senior Analyst,25%,809,2272,0.356073944,Law Enforcement
Server Administrator,25%,884,2331,0.379236379,Construction
3D Designer,25%,272,1956,0.139059305,Sales & Marketing
Junior Designer,25%,390,2388,0.163316583,Hospitality
Senior Designer,25%,907,2523,0.359492667,Communication & PR
Benefits Specialist,25%,217,1444,0.150277008,Data & IT
Driver Recruiter,25%,175,1148,0.152439024,Administrative & Clerical
Hr Generalist,25%,368,2189,0.168113294,Leadership & Strategy
Human Resources Business Partner,25%,366,2234,0.163831692,Medical & Healthcare
Human Resources Executive,25%,355,2093,0.169612996,Supply Chain & Logistics
Human Resources Generalist,25%,371,2244,0.165329768,Law Enforcement
Medical Recruiter,25%,800,2214,0.361336947,Construction
Payroll Manager,25%,688,2069,0.332527791,Sales & Marketing
Workforce Manager,25%,617,1757,0.351166762,Hospitality
Digital Court Reporter,25%,200,1330,0.15037594,Communication & PR
Legal Administrator,25%,285,1844,0.154555315,Data & IT
Legal Clerk,25%,275,1582,0.173830594,Administrative & Clerical
Legal Editor,25%,347,2167,0.160129211,Leadership & Strategy
Legal Officer,25%,295,1961,0.150433452,Medical & Healthcare
Personal Injury Attorney,25%,423,1288,0.328416149,Supply Chain & Logistics
Trial Attorney,25%,377,1152,0.327256944,Law Enforcement
Animal Control Officer,25%,161,1239,0.129943503,Construction
Veterinary Assistant,25%,285,898,0.317371938,Sales & Marketing
Community Health Worker,25%,227,1556,0.145886889,Hospitality
Community Liaison,25%,246,1602,0.153558052,Communication & PR
Family Advocate,25%,295,2066,0.142787996,Data & IT
Peer Support Specialist,25%,524,1571,0.333545512,Administrative & Clerical
Victim Advocate,25%,462,1328,0.347891566,Leadership & Strategy
Recreation Specialist,25%,607,1585,0.3829653,Medical & Healthcare
Sports,25%,575,1415,0.406360424,Supply Chain & Logistics
Apartment Leasing Agent,25%,240,1595,0.150470219,Law Enforcement
Apartment Property Manager,25%,233,1537,0.151594014,Construction
Commercial Property Manager,25%,224,1516,0.147757256,Sales & Marketing
Housing Counselor,25%,255,1802,0.141509434,Hospitality
Leasing Agent,25%,281,1933,0.145369891,Communication & PR
Leasing Consultant,25%,280,1933,0.144852561,Data & IT
Leasing Specialist,25%,285,1943,0.146680391,Administrative & Clerical
Regional Property Manager,25%,627,1724,0.363689095,Leadership & Strategy
Security Guard,25%,245,869,0.281933257,Medical & Healthcare
Senior Planner,25%,604,1618,0.373300371,Supply Chain & Logistics
Title Officer,25%,532,1467,0.362644853,Law Enforcement
Transaction Coordinator,25%,652,1836,0.355119826,Construction
Certified Phlebotomy Technician,25%,136,889,0.152980877,Sales & Marketing
Clinical Technician,25%,154,1236,0.124595469,Hospitality
Environmental Planner,25%,268,1848,0.145021645,Communication & PR
Health Physicist,25%,233,1701,0.136978248,Data & IT
Industrial Hygienist,25%,241,1794,0.134336678,Administrative & Clerical
Laboratory Manager,25%,277,1897,0.146020032,Leadership & Strategy
Library Clerk,25%,245,1394,0.175753228,Medical & Healthcare
Meteorologist,25%,320,1074,0.297951583,Supply Chain & Logistics
Microbiology Technician,25%,378,1223,0.309076043,Law Enforcement
Renewable Energy,25%,348,1115,0.312107623,Construction
Scientist,25%,315,1068,0.29494382,Sales & Marketing
Seismologist,25%,268,988,0.271255061,Hospitality
Accounting Administrator,25%,219,1577,0.138871275,Communication & PR
Accounting Director,25%,194,1417,0.136908963,Data & IT
Accounts Payable Coordinator,25%,225,1585,0.141955836,Administrative & Clerical
Acquisition Specialist,25%,202,1427,0.141555711,Leadership & Strategy
Aml Analyst,25%,205,1409,0.145493258,Medical & Healthcare
Assistant Controller,25%,225,1504,0.149601064,Supply Chain & Logistics
Banking Analyst,25%,218,1530,0.14248366,Law Enforcement
Business Banker,25%,209,1452,0.143939394,Construction
Commercial Banker,25%,209,1447,0.144436766,Sales & Marketing
Economist,25%,214,1450,0.147586207,Hospitality
Fund Manager,25%,285,1874,0.15208111,Communication & PR
Investment Banker,25%,277,1869,0.148207598,Data & IT
Junior Accountant,25%,282,1921,0.146798542,Administrative & Clerical
Loan Originator,25%,292,1940,0.150515464,Leadership & Strategy
Procurement Administrator,25%,577,1652,0.349273608,Medical & Healthcare
Senior Credit Analyst,25%,571,1601,0.356652092,Supply Chain & Logistics
Treasurer,25%,417,1271,0.32808812,Law Enforcement
Trust Officer,25%,426,1258,0.33863275,Construction
Cancer Registrar,25%,179,1323,0.135298564,Sales & Marketing
Clinical Liaison,25%,221,1520,0.145394737,Hospitality
Pattern Maker,25%,194,1674,0.115890084,Communication & PR
Product Design Engineer,25%,260,1939,0.134089737,Data & IT
Stock Clerk,25%,151,1036,0.145752896,Administrative & Clerical
Center Manager,25%,209,1542,0.135538262,Leadership & Strategy
Transportation Supervisor,25%,179,1419,0.126145173,Medical & Healthcare
Warehouse Assistant,25%,167,1187,0.140690817,Supply Chain & Logistics
DBA,25%,172,1322,0.1301059,Law Enforcement
Chief Development Officer,25%,180,1347,0.13363029,Construction
Business Director,25%,186,1358,0.136966127,Sales & Marketing
Dermatology Nurse Practitioner,25%,137,1167,0.11739503,Hospitality
Budtender,25%,122,980,0.124489796,Communication & PR
Manufacturing Manager,25%,194,1364,0.142228739,Data & IT
Kitchen Designer,25%,219,1889,0.115934357,Administrative & Clerical
Chief Nursing Officer,25%,174,1334,0.130434783,Leadership & Strategy
Director Of Radiology,25%,152,1122,0.135472371,Medical & Healthcare
Health Unit Coordinator,25%,197,1531,0.128674069,Supply Chain & Logistics
Hospital Director,25%,164,1291,0.127033308,Law Enforcement
Social Work Case Manager,25%,199,1530,0.130065359,Construction
Information Officer,25%,208,1454,0.143053645,Sales & Marketing
Interaction Designer,25%,271,2044,0.13258317,Hospitality
Corporate Recruiter,25%,222,1472,0.150815217,Communication & PR
Assistant Front Office Manager,25%,213,1552,0.137242268,Data & IT
Facilities Director,25%,171,1283,0.133281372,Administrative & Clerical
Operations Team Leader,25%,193,1460,0.132191781,Leadership & Strategy
Transportation Planner,25%,188,1413,0.133050248,Medical & Healthcare
Screen Printer,25%,197,1708,0.115339578,Supply Chain & Logistics
Warehouse Coordinator,25%,177,1198,0.147746244,Law Enforcement
District Manager,25%,198,1529,0.129496403,Construction
Economic Analyst,25%,206,1401,0.14703783,Sales & Marketing
Employee Relations Manager,25%,212,1356,0.156342183,Hospitality
Field Manager,25%,220,1459,0.150788211,Communication & PR
Field Sales Manager,25%,222,1454,0.152682256,Data & IT
Food Service Manager,25%,222,1505,0.147508306,Administrative & Clerical
Franchise Manager,25%,229,1480,0.15472973,Leadership & Strategy
General Manager,25%,231,1484,0.155660377,Medical & Healthcare
Human Resources Manager,25%,297,1994,0.148946841,Supply Chain & Logistics
Key Account Manager,25%,310,2020,0.153465347,Law Enforcement
Labor Relations Manager,25%,237,1714,0.138273046,Construction
Learning And Development Manager,25%,312,2046,0.152492669,Sales & Marketing
National Account Manager,25%,194,1208,0.160596026,Hospitality
Operations Manager,25%,232,1461,0.158795346,Communication & PR
Policy Analyst,25%,240,2019,0.118870728,Data & IT
Press Secretary,25%,241,1950,0.123589744,Administrative & Clerical
Program Manager,24%,276,2003,0.13779331,Leadership & Strategy
Public Relations Manager,24%,291,2380,0.122268908,Medical & Healthcare
Real Estate Manager,24%,272,2354,0.115548003,Supply Chain & Logistics
Regional Operations Manager,24%,254,1877,0.135322323,Law Enforcement
Regional Sales Director,24%,270,1942,0.139031926,Construction
Regulatory Affairs Manager,24%,259,1843,0.140531742,Sales & Marketing
Sales Manager,23%,293,1997,0.14672008,Hospitality
Senior Operations Manager,23%,260,1861,0.139709833,Communication & PR
Tour Manager,22%,192,1442,0.133148405,Data & IT
Unit Manager,22%,182,1386,0.131313131,Administrative & Clerical
Validation Manager,22%,174,1326,0.131221719,Leadership & Strategy
Vice President Of Sales,22%,202,1458,0.138545953,Medical & Healthcare
Car Dealer,22%,5,20,0.25,Supply Chain & Logistics
Distribution Supervisor,22%,8,57,0.140350877,Law Enforcement
Jewelry Consultant,22%,155,1189,0.130361648,Construction
Licensed Customs Broker,22%,167,1252,0.133386581,Sales & Marketing
Sales Coach,22%,285,1996,0.142785571,Hospitality
Sales Director,22%,296,2158,0.137164041,Communication & PR
Sales Supervisor,22%,295,2169,0.136007377,Data & IT
Technical Sales,22%,382,2377,0.160706773,Administrative & Clerical
Technical Sales Representative,22%,198,1424,0.139044944,Leadership & Strategy
Technology Sales,22%,197,1447,0.136143746,Medical & Healthcare
Territory Sales Representative,22%,188,1395,0.134767025,Supply Chain & Logistics
Wine Sales Representative,22%,171,1321,0.129447388,Law Enforcement
Nurse Extern,21%,133,771,0.172503243,Construction
Private Duty Nurse,21%,114,1168,0.09760274,Sales & Marketing
Student Nurse,21%,81,378,0.214285714,Hospitality
Category Manager,21%,6,46,0.130434783,Communication & PR
Implementation Manager,20%,291,1948,0.149383984,Data & IT
Linguist,20%,179,1299,0.137798306,Administrative & Clerical
Safety Technician,20%,130,1135,0.114537445,Leadership & Strategy
Trainee,20%,180,1399,0.128663331,Medical & Healthcare
Chief Engineer,20%,6,46,0.130434783,Supply Chain & Logistics
Cisco Voice Engineer,20%,6,46,0.130434783,Law Enforcement
City Engineer,20%,6,46,0.130434783,Construction
Civil Project Engineer,20%,6,46,0.130434783,Sales & Marketing
Civil Structural Engineer,20%,6,46,0.130434783,Hospitality
Construction Engineer,20%,6,42,0.142857143,Communication & PR
Corrosion Engineer,20%,5,40,0.125,Data & IT
Distribution Center Supervisor,20%,9,60,0.15,Administrative & Clerical
Electrical Engineering,20%,163,1181,0.138018628,Leadership & Strategy
Engineering Consultant,20%,184,1269,0.14499606,Medical & Healthcare
Engineering Program Manager,20%,194,1364,0.142228739,Supply Chain & Logistics
Entry Level Mechanical Engineer,20%,156,1138,0.137082601,Law Enforcement
Fire Protection Engineer,20%,141,1086,0.129834254,Construction
Geotechnical Engineer,20%,156,1150,0.135652174,Sales & Marketing
Highway Engineer,20%,147,1005,0.146268657,Hospitality
Industrial Designer,20%,179,1583,0.113076437,Communication & PR
Junior Mechanical Engineer,20%,153,1112,0.137589928,Data & IT
Lead Mechanical Engineer,20%,149,997,0.149448345,Administrative & Clerical
Warehouse Clerk,20%,169,1156,0.146193772,Leadership & Strategy
Warehouse Driver,20%,158,1088,0.145220588,Medical & Healthcare
Warranty Manager,20%,192,1451,0.132322536,Supply Chain & Logistics
Yard Laborer,20%,159,1105,0.143891403,Law Enforcement
Yard Manager,20%,180,1227,0.146699267,Construction
Yard Supervisor,20%,171,1186,0.144182125,Sales & Marketing
Career Coach,20%,10,60,0.166666667,Hospitality
Change Management Consultant,20%,8,54,0.148148148,Communication & PR
Employment Consultant,20%,216,1431,0.150943396,Data & IT
Franchise Consultant,20%,217,1454,0.149243466,Administrative & Clerical
Independent Consultant,20%,294,1860,0.158064516,Leadership & Strategy
Recruitment Consultant,20%,288,2310,0.124675325,Medical & Healthcare
Small Business Consultant,20%,260,2020,0.128712871,Supply Chain & Logistics
Call Center Manager,20%,10,60,0.166666667,Law Enforcement
Call Center Supervisor,20%,10,60,0.166666667,Construction
Contact Center Manager,20%,10,60,0.166666667,Sales & Marketing
Customer Experience Manager,20%,10,60,0.166666667,Hospitality
Customer Service Consultant,20%,10,60,0.166666667,Communication & PR
Customer Service Director,20%,10,60,0.166666667,Data & IT
Customer Service Trainer,20%,10,60,0.166666667,Administrative & Clerical
Customer Success Manager,20%,10,60,0.166666667,Leadership & Strategy
Customer Support Specialist,20%,10,60,0.166666667,Medical & Healthcare
Communications Specialist,20%,9,57,0.157894737,Supply Chain & Logistics
Content Creator,20%,11,65,0.169230769,Law Enforcement
Event Specialist,20%,306,1793,0.170663692,Construction
Graphic Designer,20%,372,2526,0.147268409,Sales & Marketing
Marketing Administrator,20%,488,3153,0.154773232,Hospitality
Marketing Assistant,20%,488,3153,0.154773232,Communication & PR
Marketing Coordinator,20%,492,3169,0.155254023,Data & IT
Marketing Officer,20%,496,3180,0.155974843,Administrative & Clerical
Marketing Specialist,20%,281,2181,0.128839982,Leadership & Strategy
Package Designer,20%,205,1483,0.138233311,Medical & Healthcare
Promotions Coordinator,20%,261,2125,0.122823529,Supply Chain & Logistics
Retail Marketing Manager,20%,280,2109,0.132764343,Law Enforcement
Social Media Assistant,20%,392,2696,0.145400593,Construction
Social Media Coordinator,20%,402,2716,0.148011782,Sales & Marketing
Product Assistant,20%,221,1866,0.118435155,Hospitality
Product Specialist,20%,261,2095,0.124582339,Communication & PR
Project Specialist,20%,244,1720,0.141860465,Data & IT
Dairy Manager,20%,6,46,0.130434783,Administrative & Clerical
Grocery Clerk,20%,141,1033,0.136495644,Leadership & Strategy
Merchandising Manager,20%,179,1144,0.156468531,Medical & Healthcare
Produce Clerk,20%,104,669,0.155455904,Supply Chain & Logistics
Retail Assistant,20%,220,1135,0.193832599,Law Enforcement
Retail Associate,20%,221,1178,0.187606112,Construction
Retail Clerk,20%,221,1139,0.194029851,Sales & Marketing
Retail Operations Manager,20%,260,1896,0.137130802,Hospitality
Retail Supervisor,20%,241,1727,0.13954835,Communication & PR
Sales Assistant,20%,266,1721,0.154561302,Data & IT
Store Assistant,20%,210,1097,0.191431176,Administrative & Clerical
Store Associate,20%,208,1094,0.190127971,Leadership & Strategy
Store Clerk,20%,208,1094,0.190127971,Medical & Healthcare
Store Supervisor,20%,221,1317,0.167805619,Supply Chain & Logistics
Vendor Manager,20%,209,1480,0.141216216,Law Enforcement
Construction Apprentice,20%,5,40,0.125,Construction
Construction Laborer,20%,5,40,0.125,Sales & Marketing
Construction Project Coordinator,20%,6,46,0.130434783,Hospitality
